Time,Seq,Tier,PDR,Hamming_Distance,Trust_Score,Kalman_State,Kalman_P,Innovation,Dynamic_Threshold,Alarm_Active,Sensor_Vel,Sensor_Accel,Kinematic_Drift,Spatial_Residual,Spatial_Alarm
3.107072591781616,43,1,1.0,0,1.0,0.0,0.0004997501748775857,0.0,3.0010498163142842,0,4.831715106964111,2.50472354888916,0.0,0.0,0
3.1192939281463623,44,1,1.0,0,1.0,0.0026626252902018726,0.00029987489603306767,0.004439560172299752,0.10603285953398033,0,4.874651908874512,3.5828781127929688,0.0,0.0,0
3.132071018218994,45,1,1.0,2,1.0,0.0038559205473495577,0.00028607263964359174,0.0011154080329082603,0.10255529609208912,0,4.905627250671387,1.9507255554199219,0.0,0.0,0
3.337277889251709,46,1,1.0,2,1.0,0.004441645309733431,0.0004920384583321699,-0.011677018810495184,0.531609426025637,0,5.548056125640869,3.2712337970733643,0.0,0.0,0
3.4367198944091797,47,1,1.0,1,1.0,0.004859177711657485,0.0003537589119088079,-0.00027030726708764715,0.1240385138601989,0,5.861939430236816,3.3473262786865234,0.0,0.0,0
3.4983651638031006,48,1,1.0,1,1.0,0.0045098406905206105,0.00027802750240062796,-0.0012376657994976085,0.10067964480843017,0,6.0637712478637695,2.619619846343994,0.0,0.0,0
3.512655019760132,49,1,1.0,1,1.0,0.004772928266665255,0.00022222003861684222,0.00047324486513373315,0.08999964625801402,0,6.110202789306641,3.0221822261810303,0.0,0.0,0
3.52485990524292,50,1,1.0,1,1.0,0.004839428728167896,0.00020019950409492604,4.0596579388338903e-05,0.08663135068440299,0,6.145853042602539,4.515383243560791,0.0,0.0,0
3.619330406188965,51,1,1.0,1,1.0,0.004967768378636829,0.00022146955191796713,-0.000593565491873423,0.08987831464512112,0,6.4645771980285645,3.6731772422790527,0.0,0.0,0
3.6488113403320312,52,1,1.0,0,1.0,0.004871979305976734,0.0002054355756480491,-0.0004958249245449005,0.08739792301958958,0,6.55973482131958,3.2123169898986816,0.0,0.0,0
3.6684467792510986,53,1,1.0,1,1.0,0.004707375850782084,0.000194684516001586,-0.0005920680149333621,0.08584536352625088,0,6.625313758850098,3.029203414916992,0.0,0.0,0
3.722172498703003,54,1,1.0,0,1.0,0.0050035591400160225,0.0001984893886490375,0.00032847020342266237,0.08638532239742529,0,6.807070732116699,3.469325542449951,0.0,0.0,0
3.8033668994903564,55,1,1.0,2,1.0,0.00468418155932281,0.00020926500434223407,-0.0013934072558436689,0.08797162285177247,0,7.086560249328613,3.741818904876709,0.0,0.0,0
3.8653066158294678,56,1,1.0,0,1.0,0.0045146088548346525,0.0002082644157729807,-0.0007679131540500872,0.08782063166331512,0,7.308291912078857,3.6783368587493896,0.0,0.0,0
3.939466714859009,57,1,1.0,0,1.0,0.005087935744062663,0.00021058213887425293,0.0010089245192226011,0.08817157410905249,0,7.5697712898254395,4.090958118438721,0.0,0.0,0
4.039547920227051,58,1,1.0,1,1.0,0.004845894622046269,0.00021880624311750767,-0.0011368448336089637,0.0894516636190575,0,7.932222366333008,3.766918897628784,0.0,0.0,0
4.082734107971191,59,1,1.0,0,1.0,0.0045419525696066936,0.00020501841241454615,-0.000941276090322225,0.08733610204332432,0,8.08543872833252,4.407256126403809,0.0,0.0,0
4.094400405883789,60,1,1.0,1,1.0,0.004316097819393922,0.00019153809391980964,-0.0006346563895382809,0.0854064145482974,0,8.121541976928711,2.508443593978882,0.0,0.0,0
4.192583084106445,61,1,1.0,1,1.0,0.004432811349909973,0.0002020169709159633,-2.4186195667431735e-05,0.08689514130206902,0,8.49758243560791,4.909183502197266,0.0,0.0,0
4.297706604003906,62,1,1.0,1,1.0,0.004499522733309932,0.00021015903401701112,-0.000161091417823769,0.08810719493184588,0,8.883326530456543,3.5815682411193848,0.0,0.0,0
4.353289604187012,63,1,1.0,1,1.0,0.004527380356576266,0.00020212959826054815,-9.719869248772054e-05,0.08691156764725913,0,9.109586715698242,3.47672963142395,0.0,0.0,0
4.4485931396484375,64,1,1.0,1,1.0,0.004747345035373019,0.00020582373810620384,0.0002628303232297081,0.08745556432791693,0,9.470009803771973,3.645660161972046,0.0,0.0,0
4.486275672912598,65,1,1.0,1,1.0,0.004706586155380075,0.00019580149876742393,-0.00022642244099294918,0.08600282638377449,0,9.617429733276367,2.3598473072052,0.0,0.0,0
4.577838897705078,66,1,1.0,1,1.0,0.004665414511732008,0.00019978271016751287,-0.00037940718654211943,0.08657119431954653,0,9.98845100402832,3.8221547603607178,0.0,0.0,0
4.641618251800537,67,1,1.0,1,1.0,0.0043350016740472475,0.00019674370896422778,-0.0010160585948791657,0.08613632715234787,0,10.2413969039917,4.25117301940918,0.0,0.0,0
4.75301456451416,68,1,1.0,2,1.0,0.004348498203154364,0.0002029529424047258,-0.0001874629489180598,0.08703193344706359,0,10.689953804016113,4.084804534912109,0.0,0.0,0
4.836197376251221,69,1,1.0,0,1.0,0.004420358390795228,0.00020098377529619986,2.4474298509599875e-05,0.08674488629829016,0,11.027328491210938,3.6843209266662598,0.0,0.0,0
4.93586540222168,70,1,1.0,1,1.0,0.004094074485469813,0.00020214526882744775,-0.0009926113938805822,0.0869138538886371,0,11.450206756591797,3.889411449432373,0.0,0.0,0
5.026630401611328,71,1,1.0,1,1.0,0.004072975046199205,0.00020076248929441748,-0.00015849027341853592,0.08671280646464188,0,11.828923225402832,3.953738212585449,0.0,0.0,0
5.104515552520752,72,1,1.0,2,1.0,0.003937866867418159,0.00019758746316401527,-0.0004258911497855367,0.08625640693628189,0,12.165271759033203,3.8745405673980713,0.0,0.0,0
