pdr,delivered,packets,success_rate,mean_hd,alarm_rate
0.2,26,120,0.4,6.2,0.2
0.4,60,120,0.07142857142857142,17.071428571428573,0.40476190476190477
0.6,76,120,0.05555555555555555,16.314814814814813,0.48148148148148145
0.8,93,120,0.010752688172043012,38.12903225806452,0.989247311827957
1.0,120,120,0.008333333333333333,38.041666666666664,0.9916666666666667
