Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,32.8717667664753,-88.81092790623015,932.4721208597767,-44924.98551543267,4.618201756687014e-07,2.2249742634151e-05,-0.7150033513112908,3.542682123675305e-10,0.7080665214093987,0.01647097449847828,-0.7078749223838043,1.575764146854558e-05,3.665527220069086e-07,-1.5753377534777e-05
10023.05238077899,32.8620236207849,-88.80030426208958,939.7656391378796,-44875.32459477679,4.66459492723188e-07,2.227419292055732e-05,-0.7125703289557132,3.538445645002441e-10,0.7080602947320961,0.01660617773011634,-0.7078655351387709,1.577487960073459e-05,3.699691343660238e-07,-1.577054055057368e-05
10046.15790278395,32.81283970171054,-88.87647355376093,875.2692856500063,-44629.84220617989,4.392623488585184e-07,2.239791757586105e-05,-0.7070424400313733,3.549725580925528e-10,0.7081521350606261,0.01567126244515136,-0.7079787129033601,1.586413265262488e-05,3.510700228880842e-07,-1.586024762288118e-05
10069.31668851804,32.77783490191532,-88.90604881411373,848.8872653064042,-44455.13462612867,4.293859499086036e-07,2.248639011313851e-05,-0.7026548712716434,3.555479687540565e-10,0.7080527752593136,0.01530778047516897,-0.707887282276875,1.592440253126753e-05,3.44278373963851e-07,-1.592068052499832e-05
10092.52886076684,32.76396011617816,-88.74221891798584,974.4102128706678,-44380.2383139419,4.944851572236409e-07,2.252169448803282e-05,-0.6998577265127081,3.553288756304421e-10,0.7081824019602468,0.01733912667465278,-0.7079701046882877,1.595326034523006e-05,3.905993727519744e-07,-1.594847791397962e-05
10115.79454259898,32.75411564659722,-88.91712201546564,838.0567780662863,-44336.8501865982,4.261756479362718e-07,2.254654618906068e-05,-0.6975654595006203,3.548585676729007e-10,0.7080954767844385,0.01518014735213507,-0.7079327421224059,1.596790767814477e-05,3.423199263470478e-07,-1.596423793000406e-05
10139.11385736679,32.74173047934413,-88.88495481429098,861.734257209768,-44273.99286352642,4.394520372853744e-07,2.257806997905928e-05,-0.6949744241727588,3.545450619107237e-10,0.7080707686959742,0.01558119621307764,-0.7078993147378215,1.598984745469783e-05,3.51858827709637e-07,-1.598597563459514e-05
10162.48692870695,32.72281814155362,-88.85022907500145,886.6643788767641,-44178.63262556542,4.541086987359382e-07,2.262626293721556e-05,-0.6918825884575334,3.544931615845861e-10,0.708038158720826,0.01601365253579612,-0.707857045693013,1.602343157672575e-05,3.624008996412903e-07,-1.60193328538348e-05
10185.91388054117,32.67994587751286,-88.91797584317162,830.4291845446746,-43967.99343309447,4.294122363397411e-07,2.273570671511056e-05,-0.687000064478966,3.553722282998759e-10,0.7081058044136452,0.01518228248653129,-0.7079430263395458,1.610210447573898e-05,3.452403542726816e-07,-1.60984029532558e-05
10209.3948370768,32.66815474101712,-88.84099467555923,888.2949693873039,-43907.14128139886,4.605843292192364e-07,2.276602019819609e-05,-0.6844713798893191,3.550462825345579e-10,0.7080060672398237,0.01613534350738655,-0.7078221824288219,1.612172578827187e-05,3.67411517446142e-07,-1.611753862005853e-05
10232.92992280754,32.64504308921146,-88.78962946280365,925.2264518422807,-43791.28804793806,4.822572635258242e-07,2.282540311965675e-05,-0.6810952493338462,3.551668407612123e-10,0.7080285115382605,0.01677460818416655,-0.7078297716763209,1.616458955524624e-05,3.829713801468487e-07,-1.616005224037237e-05
10256.51926251407,32.61160759024474,-88.84822875840199,877.1497301996664,-43628.63557896482,4.606329089709801e-07,2.291146497485522e-05,-0.6770048234711886,3.556710363431912e-10,0.7080667168544517,0.01605572488786041,-0.7078846581296756,1.622607034623616e-05,3.679332968051226e-07,-1.622189828503762e-05
10280.16298126474,32.59405966840848,-88.85649761607284,869.1368559269951,-43542.77035854859,4.582295097966372e-07,2.295677853323162e-05,-0.6741184114598237,3.555527766565898e-10,0.7081409862474825,0.01595943976865335,-0.7079611237107782,1.625981981342795e-05,3.664490828820209e-07,-1.625568994028858e-05
10303.86120441616,32.57469254693216,-88.79590082822237,913.1717589696708,-43445.91063106793,4.835738883749377e-07,2.300696197784336e-05,-0.67107187265873,3.555258857817992e-10,0.7080872456024676,0.01671112393606705,-0.7078900237478154,1.62944799240415e-05,3.845558229942858e-07,-1.628994146134334e-05
10327.61405761398,32.5644635601838,-88.85039849872864,870.8624573799024,-43397.68810537868,4.622123349941196e-07,2.303342690059626e-05,-0.6687853111280095,3.551023426321682e-10,0.7080456868216766,0.01604107738959084,-0.7078639547702374,1.631194704160331e-05,3.695541258697988e-07,-1.630776030103838e-05
10351.42166679344,32.52446750189083,-88.87708447469997,846.8363797692811,-43203.550921125,4.535172343837415e-07,2.313735616158104e-05,-0.6642622539739945,3.558776290175725e-10,0.7081439484683866,0.01571779457644189,-0.7079694927650836,1.638767059636653e-05,3.637368370896768e-07,-1.638363339092889e-05
