Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,33.70573257720984,-88.71823891752607,1104.251852516581,-49352.73559428405,4.531357331028844e-07,2.02521625598205e-05,-0.7854731824937635,3.224845414857376e-10,0.7077014215503702,0.01760701817386064,-0.7074823637204253,1.433602620736007e-05,3.566683156025931e-07,-1.433158871621565e-05
10023.05238077899,33.67082862084239,-88.64621536694986,1161.673038459479,-49155.95432317124,4.804953225600633e-07,2.033206018070444e-05,-0.7805419762082584,3.230308496027075e-10,0.7076277792668951,0.01849851297838986,-0.7073859477030809,1.439150210864412e-05,3.76216700835409e-07,-1.438658381747107e-05
10046.15790278395,33.65840486608764,-88.68596751256561,1126.003386282553,-49088.53532083374,4.670367973100665e-07,2.036064242806043e-05,-0.7776787027493135,3.227305347705287e-10,0.7077892964316341,0.01801593510358542,-0.7075599721758793,1.441478969451278e-05,3.669113350222278e-07,-1.44101192919859e-05
10069.31668851804,33.63721789809786,-88.78129376277958,1041.870795208593,-48974.71980293638,4.341836259666976e-07,2.040946106036563e-05,-0.7740911309370121,3.227365645093593e-10,0.7077654116537023,0.01684224890305949,-0.7075649910681153,1.444833276158082e-05,3.438178986964064e-07,-1.444424137301456e-05
10092.52886076684,33.61748955093355,-88.72988924959483,1083.374032874122,-48863.92134073889,4.535115563474225e-07,2.045494200898145e-05,-0.7705635255068516,3.227244099043809e-10,0.7077973163381033,0.0174819654285382,-0.7075813888876504,1.448146454968095e-05,3.576793197265971e-07,-1.447704669495495e-05
10115.79454259898,33.58448229430751,-88.81087551894819,1010.562041033578,-48685.08492233327,4.261711421226282e-07,2.053132554283079e-05,-0.7659775895613714,3.231649113366728e-10,0.7078420045786787,0.01648697257347434,-0.7076499722188392,1.453601822193193e-05,3.385712238074402e-07,-1.453207470648106e-05
10139.11385736679,33.55484303453734,-88.73872162199208,1068.263938192073,-48519.92152810343,4.535528659613289e-07,2.060010515990419e-05,-0.7616232994580495,3.23519186479762e-10,0.7077322404335858,0.01737956687581758,-0.7075188158659471,1.458284456181509e-05,3.581065095274566e-07,-1.457844694204064e-05
10162.48692870695,33.52451765232029,-88.83261947047194,985.4017120309893,-48357.45072246375,4.212173168407504e-07,2.067075325107048e-05,-0.7573271554290806,3.238595691034956e-10,0.7078338770058443,0.01622652551466939,-0.7076478625042589,1.463444924801192e-05,3.354830445817148e-07,-1.463060340243816e-05
10185.91388054117,33.50480651250765,-88.78232679558802,1025.545573988878,-48248.2377754035,4.40347852663399e-07,2.07167857168505e-05,-0.7538788985932996,3.238461034147567e-10,0.7077907333266747,0.01685080832938759,-0.7075901161278034,1.466641302844455e-05,3.491722951222734e-07,-1.466225595975077e-05
10209.3948370768,33.50610697217548,-88.77268129523112,1033.815914828448,-48254.97118340695,4.43771902812379e-07,2.071374610804914e-05,-0.7522499927914592,3.230561931003863e-10,0.7077350835886291,0.01697276488508831,-0.7075315355476103,1.466316062694039e-05,3.516490613004589e-07,-1.465894343085958e-05
10232.92992280754,33.48396490541746,-88.72233724586907,1073.510168530803,-48132.73785117438,4.631365480221003e-07,2.076555090833864e-05,-0.7486187447142213,3.231317004434835e-10,0.7078977320176232,0.01760266980484739,-0.7076788431283191,1.47034934834647e-05,3.656188303209751e-07,-1.469894701974272e-05
10256.51926251407,33.45009061621861,-88.83720836082726,973.3207221061162,-47953.14238126895,4.230999182752114e-07,2.084510291597641e-05,-0.7441101070869208,3.235959367841373e-10,0.7078065976272095,0.01618593236142233,-0.7076215056357444,1.47572913771946e-05,3.374658005022959e-07,-1.475343233369488e-05
10280.16298126474,33.44265233955762,-88.9479702352466,879.914416996165,-47916.62584163412,3.831082900858958e-07,2.086254780952646e-05,-0.7418333612880812,3.230977271953552e-10,0.7078473553623504,0.01482301220654056,-0.7076921341957945,1.476993980294595e-05,3.092969074905467e-07,-1.476670095876746e-05
10303.86120441616,33.41721089290782,-88.75841339879398,1035.388026419431,-47772.80783558301,4.53458609113691e-07,2.092258210624075e-05,-0.7379057580039566,3.233250579255766e-10,0.7078960380409283,0.01716964031644014,-0.7076877871812171,1.481444155409971e-05,3.593163675230379e-07,-1.481008339976066e-05
10327.61405761398,33.38368877240715,-88.75003905343164,1038.432177575192,-47592.16031861508,4.582480092187356e-07,2.10018653036636e-05,-0.7334247314891928,3.238058665097512e-10,0.7077932684758695,0.01727478794204116,-0.7075824281320954,1.486846698405361e-05,3.628879018952171e-07,-1.486403790450463e-05
10351.42166679344,33.36052776761009,-88.69610959476032,1080.379351348851,-47466.02206943931,4.79275981963689e-07,2.105679297631725e-05,-0.7297985034745867,3.23919650238589e-10,0.7076095353871585,0.01794036098517363,-0.7073820735773222,1.490379626260364e-05,3.778630326883567e-07,-1.489900542203156e-05
10375.28415818013,33.33470365887475,-88.74647840184785,1035.648980224777,-47329.73725712741,4.621005686547936e-07,2.111825427188047e-05,-0.7260294296396169,3.241052291751097e-10,0.7077703711780804,0.01732666907708611,-0.7075582554505677,1.495040181440666e-05,3.659953501253805e-07,-1.494592124346641e-05
10399.20165829059,33.31076423902997,-88.76440305714479,1018.095586221616,-47202.72058313391,4.56722603268849e-07,2.117536871573097e-05,-0.7224156771882639,3.242299290208812e-10,0.7079680552248856,0.01711434049933683,-0.70776116491948,1.499492013599136e-05,3.62485520460666e-07,-1.499053815352256e-05
10423.17429393304,33.28983527838709,-88.88180455264529,919.2403077119991,-47095.43676815381,4.142914553752187e-07,2.122539326933318e-05,-0.7191160146949017,3.242211207487916e-10,0.7078273550606897,0.01566521907846144,-0.7076539871175994,1.502672414159347e-05,3.325626284809014e-07,-1.502304365052854e-05
10447.202192208,33.26864794176628,-88.70493718313404,1062.004552607467,-46976.88409547689,4.809900181318805e-07,2.12761915920094e-05,-0.7156560366397982,3.242917679154856e-10,0.7079247122035748,0.01785633529846592,-0.7076994767824991,1.506573837662823e-05,3.800105736309977e-07,-1.506094501672911e-05
10471.285480509,33.2374332698084,-88.7656422006699,1008.696955834645,-46813.9277500961,4.600541637774172e-07,2.135125149295824e-05,-0.7115332707567894,3.246721605860375e-10,0.707843596932177,0.01710883491035141,-0.7076368033715408,1.511680234519669e-05,3.653785621813915e-07,-1.511238603431114e-05
10495.42428652322,33.21287291905369,-88.8175282371712,963.6483075124539,-46686.22418577564,4.41932630497209e-07,2.141047278509915e-05,-0.7079602644557795,3.248114875598847e-10,0.7076820990594825,0.01646853533529648,-0.7074904527081234,1.515498306656592e-05,3.526730073704787e-07,-1.515087896782797e-05
10519.61873823223,33.20554932833868,-88.87801982853047,913.6231510418531,-46649.71872128396,4.196647480601992e-07,2.142813744586246e-05,-0.7057796972579758,3.243180366020528e-10,0.7077919369420241,0.0157283124845349,-0.7076171607490388,1.51695183978776e-05,3.370918954411078e-07,-1.516577256448134e-05
10543.86896391259,33.15634313112996,-88.85723299050568,925.3911377711182,-46390.88746365635,4.298205729250666e-07,2.154738360274082e-05,-0.7002495079871479,3.253774497679338e-10,0.7078867997307335,0.01599148547663825,-0.7077061492069079,1.525608934442926e-05,3.446420123592311e-07,-1.525219603757194e-05
10568.17509213659,33.14843788612371,-88.87702348408126,908.5636321373023,-46350.2084182862,4.227514668735923e-07,2.156658918058705e-05,-0.6980263592149131,3.24914011625447e-10,0.7077907389935328,0.01574921774157273,-0.7076154975306432,1.526751073796245e-05,3.397209623368176e-07,-1.526373066460319e-05
10592.53725177289,33.13744963552225,-88.76324042418152,999.3262499852221,-46288.93490466735,4.661766868292103e-07,2.159337084463649e-05,-0.6955002966171998,3.245958355922788e-10,0.7078307608501895,0.01715972997212505,-0.7076227311732163,1.528795951838306e-05,3.706214418332622e-07,-1.528346642560426e-05
10616.95557198725,33.12092130980338,-88.69713670869236,1050.74393343335,-46200.40819565589,4.920176521200601e-07,2.163364036101464e-05,-0.692573618430018,3.244698282720723e-10,0.707832537010047,0.01798050549805762,-0.7076041279360331,1.531689994783662e-05,3.890829953771477e-07,-1.531195736784641e-05
10641.43018224316,33.07354885994648,-88.74287077582542,1008.482403781884,-45955.90636944506,4.772836561285627e-07,2.17495148457291e-05,-0.6873239346314747,3.254458933149935e-10,0.7078860488161834,0.01742134836268733,-0.7076716432992167,1.539982983667905e-05,3.789957448088623e-07,-1.539516551467008e-05
10665.96121230258,33.05591197761287,-88.7614321480099,991.6277663404935,-45865.25919376826,4.711704155816425e-07,2.179280771336049e-05,-0.6843905177959441,3.253391139184621e-10,0.7078670918014801,0.01719599041324686,-0.707658192610806,1.542996116030086e-05,3.748351452728888e-07,-1.542540761283997e-05
10690.54879222658,33.02509569308808,-88.72586826617786,1016.544845228905,-45704.95072750925,4.863907056553879e-07,2.186864980982921e-05,-0.6804298800211159,3.257293454364976e-10,0.7078226234699821,0.01763849578949057,-0.7076028192158453,1.548289745829295e-05,3.858240928898427e-07,-1.547808946457411e-05
10715.19305237607,33.01745359715,-88.8142498377148,945.2585848343621,-45668.63824966885,4.530315912520765e-07,2.188748791970858e-05,-0.6783255781004015,3.252385900398261e-10,0.7078166473869023,0.01655120169889963,-0.7076231087523618,1.549559046176673e-05,3.623405074224765e-07,-1.549135349527203e-05
10739.89412341244,32.98997694042924,-88.81536553845943,941.4491818067438,-45527.44318842135,4.54009239690815e-07,2.195538566125703e-05,-0.6746730970072555,3.254969103342625e-10,0.7077397947403337,0.01654001491662627,-0.7075464966810644,1.554196552750086e-05,3.632187190390659e-07,-1.553772070221899e-05
10764.65213629835,32.95518976592012,-88.87430709167127,891.1326768211499,-45351.24209286598,4.331081393900145e-07,2.204160232563151e-05,-0.6705162659272769,3.260100178061099e-10,0.7079748539483066,0.01582178752434637,-0.7077980396007468,1.560785546069774e-05,3.488035929986571e-07,-1.560395745109373e-05
10789.46722229829,32.92989187240331,-88.73655394332475,997.2649300972955,-45217.45069829362,4.875141240897919e-07,2.210460350651385e-05,-0.6670005704984705,3.262226098946758e-10,0.7079304049986029,0.01752676997619414,-0.7077134099730537,1.56522688716103e-05,3.875150921350791e-07,-1.564747113378223e-05
