Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,33.16356980549186,-88.63964528873132,1102.370723573498,-46421.21695273511,5.112693838944198e-07,2.152973267842021e-05,-0.7388166142369085,3.428495708200472e-10,0.7085867481645454,0.01860070751537491,-0.7083425677977657,1.525993610170303e-05,4.005798991673703e-07,-1.525467749814602e-05
10023.05238077899,33.17044213192827,-88.52576340050099,1195.510938933863,-46452.9331787167,5.536556232973678e-07,2.151291705953698e-05,-0.7376210016310092,3.418274929368961e-10,0.7086063932730767,0.02001323582961323,-0.7083237190572589,1.524918985993903e-05,4.306842780063608e-07,-1.524310671868256e-05
10046.15790278395,33.12540332105463,-88.74884060886868,1009.585360898295,-46225.75343575127,4.722456201451327e-07,2.162264870651337e-05,-0.7323254550287548,3.427173832269455e-10,0.7086585065997064,0.0172606599404072,-0.7084482681145801,1.532667929923704e-05,3.733090013540782e-07,-1.532213231672306e-05
10069.31668851804,33.08750475486596,-88.69051863807061,1052.109669450693,-46026.57909141152,4.963828271080905e-07,2.171522999445229e-05,-0.7274930169155636,3.434088113656384e-10,0.7086685834459403,0.01798616275940463,-0.7084403003164542,1.539287208103e-05,3.906744408477377e-07,-1.538791358125659e-05
10092.52886076684,33.07842937363562,-88.63383628604238,1096.496697688096,-45977.45193404059,5.184066849888139e-07,2.173742838588877e-05,-0.7250451147599282,3.429850832735823e-10,0.7088393642823584,0.01869564240380612,-0.7085927725508686,1.541267659408517e-05,4.065094358582311e-07,-1.540731481707371e-05
10115.79454259898,33.07846973666988,-88.74558673080683,1006.86669754275,-45981.65214259921,4.759865113618011e-07,2.173738216133463e-05,-0.7234436404583686,3.421649814485083e-10,0.7087548944124928,0.01731563476193441,-0.7085433431671313,1.541011943687595e-05,3.76485583253599e-07,-1.540551977910464e-05
10139.11385736679,33.03008554824721,-88.65688736472208,1072.148690339043,-45728.36319069989,5.124423726124729e-07,2.185625104081125e-05,-0.7178038577812645,3.43268913330061e-10,0.7087385900072339,0.01841623132957158,-0.708499281149288,1.549457540831025e-05,4.026190884709977e-07,-1.548934359336805e-05
10162.48692870695,33.01665944286361,-88.70608172474003,1031.342817265573,-45660.95550124078,4.944148990227544e-07,2.188938180932249e-05,-0.7150972813350713,3.429850072562555e-10,0.7086550773246163,0.01780996364000039,-0.708431241415213,1.551592744036459e-05,3.89947256988599e-07,-1.551102657696859e-05
10185.91388054117,32.97037776131131,-88.68907134118844,1039.454962262844,-45422.75361186717,5.03537001070018e-07,2.200387507340442e-05,-0.709730697800659,3.439906777494638e-10,0.7086997128431873,0.01802558924592132,-0.7084704377151905,1.559817155583661e-05,3.967353568197894e-07,-1.559312531027566e-05
10209.3948370768,32.95366901045278,-88.58478825666401,1119.970015770432,-45333.50222047277,5.446316360817097e-07,2.204528615586687e-05,-0.7067070165464874,3.438752032186962e-10,0.7086184159345266,0.019316994245067,-0.7083550756046672,1.562641098784547e-05,4.259772034363171e-07,-1.562060382261871e-05
10232.92992280754,32.94970043194098,-88.61629311902722,1094.565968398634,-45314.37868723441,5.32741540032082e-07,2.205518222236767e-05,-0.7047842031183065,3.432291003303974e-10,0.7085544754179132,0.01892997024273206,-0.7083015606797456,1.563180477067907e-05,4.176243456434611e-07,-1.562622508139924e-05
10256.51926251407,32.90752046300537,-88.79911792134183,945.5283442259613,-45105.88622744363,4.645337954713527e-07,2.216031772636742e-05,-0.6999279747736393,3.440225506791754e-10,0.7086068922295361,0.01667519088088447,-0.708410661780501,1.570635153551222e-05,3.696074830332031e-07,-1.570200206551931e-05
10280.16298126474,32.90082304674419,-88.70920179521181,1015.511058271042,-45068.74386652965,4.997045550828301e-07,2.21770668261451e-05,-0.6977431562488977,3.43514186908585e-10,0.708598647149829,0.01779089995895996,-0.7083752724518396,1.571857594890171e-05,3.946488090670804e-07,-1.571362091240886e-05
10303.86120441616,32.8734800953334,-88.62029822867152,1082.064202648119,-44926.90334370538,5.357821045536226e-07,2.224547375808108e-05,-0.6939475021167726,3.438061542443576e-10,0.7087599447479267,0.01889855123502686,-0.7085079421151899,1.57712203392692e-05,4.205277369710564e-07,-1.576561281435697e-05
10327.61405761398,32.86491444291889,-88.59332129212919,1102.141190782705,-44882.56635169056,5.467893774099475e-07,2.226693886159276e-05,-0.6916682065839963,3.433542678973769e-10,0.7087044211679093,0.01923485880950681,-0.7084433476217556,1.578538212486876e-05,4.284290987286305e-07,-1.577956708327224e-05
10351.42166679344,32.82746848097953,-88.65263023603566,1051.2598762329,-44695.71181925985,5.259423998762086e-07,2.236114063692187e-05,-0.6872044922936291,3.439966976949364e-10,0.7086543780539908,0.01850444130736738,-0.7084127421122454,1.585064922562894e-05,4.138934540766679e-07,-1.584524449425139e-05
10375.28415818013,32.80969859148079,-88.58532368292349,1101.527184734745,-44603.86604436339,5.533315409018877e-07,2.240591632284796e-05,-0.6842150685937802,3.439122367837329e-10,0.7086523678745466,0.01934080497165123,-0.7083883904732279,1.588279287843734e-05,4.334791124572507e-07,-1.587687643960244e-05
10399.20165829059,32.78065572149728,-88.6605897286411,1039.555987422748,-44460.85078431398,5.255995529885694e-07,2.247940811313301e-05,-0.6804526355879816,3.442249636316343e-10,0.7087866292613765,0.01841796392349733,-0.7085472915935934,1.593740420879259e-05,4.141366719313364e-07,-1.59320225875876e-05
10423.17429393304,32.73963071364276,-88.82682510787974,906.4154096455629,-44261.53315994462,4.624792797905543e-07,2.258351056304455e-05,-0.6758441903184276,3.449798098034022e-10,0.70882084037405,0.01636719725927542,-0.708631849836324,1.601096435568908e-05,3.697050044162113e-07,-1.600669540563748e-05
10447.202192208,32.7364291786496,-88.68522315217729,1015.378345436284,-44240.72577340488,5.185070947099861e-07,2.259170711265559e-05,-0.6739728075773243,3.443482566834616e-10,0.7088593620372237,0.018123732377453,-0.7086276352729479,1.60185052718405e-05,4.095524700404707e-07,-1.601326880803122e-05
10471.285480509,32.71441206253098,-88.57708359430534,1096.106981626239,-44127.25295983414,5.625631464048639e-07,2.264775855223272e-05,-0.670698019521734,3.44439729388482e-10,0.7086739057092181,0.01946034896822418,-0.7084066624836278,1.605477072386792e-05,4.408677085106266e-07,-1.604871641781857e-05
