Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,32.07823745287339,-89.13023890706798,623.9008306399521,-41096.50208707517,3.6932249822799044e-07,2.4327364340358508e-05,-0.6540711450944406,3.872712639987662e-10,0.711546997435499,0.012721328934798272,-0.7114332697798204,1.7311994630769237e-05,3.095109374492734e-07,-1.7309227627926734e-05
10023.052380778994,32.05495669696894,-89.16779650642802,595.4105123008497,-40990.107172575794,3.5429642126948764e-07,2.4390983999554143e-05,-0.6508773900945095,3.873834635560448e-10,0.7115480991287415,0.012259424753943947,-0.7114424810751939,1.7357125642825293e-05,2.990498829573397e-07,-1.7354549252237195e-05
10046.157902783953,32.0438176677039,-89.22084790740496,556.7713659132029,-40940.2519405672,3.321204020886595e-07,2.4421322231272757e-05,-0.6485905886431652,3.869631598308912e-10,0.7115655314655946,0.011605400940404376,-0.7114708850254707,1.737891413180256e-05,2.834444018009328e-07,-1.737660253535352e-05
10069.31668851804,32.01896949010458,-89.09795045724208,642.7533545837656,-40822.6044967161,3.8559845240720464e-07,2.4490160969068405e-05,-0.6452393440903904,3.871858009030181e-10,0.7115488892082119,0.013135593276354867,-0.7114276336513211,1.7428042330403092e-05,3.217314778047283e-07,-1.742507240520141e-05
10092.528860766844,31.99090977579081,-89.21160605281237,560.0315206713111,-40697.188857432804,3.380659389446639e-07,2.4567069630302572e-05,-0.6417775828002628,3.8748573606758923e-10,0.711513897737538,0.011728215417161908,-0.7114172303485433,1.748140154432682e-05,2.881540947516408e-07,-1.747902649382024e-05
10115.794542598982,31.962368419629854,-89.14215325098048,607.3932133464731,-40564.89949837416,3.6903857762882106e-07,2.4646328743216935e-05,-0.6382201856714925,3.8785529723732733e-10,0.7114571752885833,0.012594035729801183,-0.7113456983307388,1.7536707616164936e-05,3.104303814371859e-07,-1.7533959820677646e-05
10139.113857366794,31.959480261705444,-89.23568798002306,541.0166606078827,-40554.291675061235,3.2889684995259654e-07,2.4653915036553147e-05,-0.6365858076430319,3.8706447314149053e-10,0.7115983520965018,0.011439502479269493,-0.7115063966609744,1.7545180667574202e-05,2.8205256118795464e-07,-1.754291341284414e-05
10162.486928706954,31.91144858678561,-89.2738406158974,511.25265217760557,-40336.9445655823,3.141664582990064e-07,2.4787186841565767e-05,-0.6317178227999973,3.882550679677279e-10,0.7115579746131755,0.010969581907196697,-0.7114734144775796,1.7638870732159328e-05,2.719258924082243e-07,-1.763677456381594e-05
10185.91388054117,31.899879687150396,-89.1823274506611,574.9074983745079,-40282.06285244306,3.542306324662585e-07,2.4819889532857052e-05,-0.6294073851490398,3.878898619822161e-10,0.7115599582038183,0.012110469567948303,-0.7114568930341905,1.766257139179282e-05,3.006099919843317e-07,-1.7660013074822377e-05
10209.394837076798,31.882948075952086,-89.19424932908925,565.4515339687797,-40205.8003735228,3.4972934150708044e-07,2.4867114588416017e-05,-0.626770927418094,3.877317984930936e-10,0.711595961603774,0.011967546819314187,-0.7114953200084505,1.7697021054040432e-05,2.9762665818014464e-07,-1.7694518149966415e-05
10232.929922807542,31.873382041467035,-89.06849984730715,652.9533451452961,-40159.06449518202,4.047624174993316e-07,2.489439735692661e-05,-0.6246025011965343,3.8729023258787203e-10,0.7115367951057626,0.013532460069316469,-0.7114080989937157,1.7715553330537716e-05,3.369256793188241e-07,-1.7712349107155198e-05
10256.519262514073,31.83822988411602,-89.22731274711322,539.5394287615871,-40005.13524258091,3.3706426686291454e-07,2.4992244982434364e-05,-0.620777367053456,3.87886253515106e-10,0.7116112835078101,0.011566264504955194,-0.7115172804233459,1.7786312756041408e-05,2.890920965869925e-07,-1.7783963203274243e-05
10280.162981264735,31.81020677179472,-89.32174672891077,472.13332350685624,-39881.832289423546,2.9679295540639383e-07,2.507056012119905e-05,-0.6174406728756765,3.881906125062335e-10,0.711617019498229,0.010398162686697833,-0.7115410463580325,1.7841818682854518e-05,2.6070502560731374e-07,-1.7839913867546548e-05
10303.861204416158,31.792164343708457,-89.14911243188536,591.0521735287134,-39796.4509841131,3.731138288963764e-07,2.5122327381895764e-05,-0.6147017866391001,3.8812872702828397e-10,0.711587121205819,0.01254603568388549,-0.7114765126514042,1.787862697476956e-05,3.152191563335763e-07,-1.78758479347537e-05
10327.614057613975,31.759362950097202,-89.13170462250484,600.9197698440671,-39649.56133540262,3.821553761961495e-07,2.521516812814291e-05,-0.6110243510990124,3.8867064835040666e-10,0.7116209735097639,0.012767367237367369,-0.7115064330508969,1.7945633451663246e-05,3.219670317676852e-07,-1.7942744974276084e-05
10351.421666793436,31.7597683384489,-89.14253619953536,593.4538881478913,-39651.661778267895,3.7736960882129967e-07,2.521397600254749e-05,-0.6096513287700118,3.877561892091162e-10,0.7115856988209737,0.012636804831382667,-0.711473483645165,1.794384408917402e-05,3.1865853410960664e-07,-1.7941014392592868e-05
10375.284158180128,31.72948367875858,-89.27375219396329,500.96570763821376,-39520.509750766745,3.206957058694556e-07,2.5299252179543926e-05,-0.6062373217399427,3.881482156292631e-10,0.7116080949449585,0.011012320566987508,-0.7115228805786381,1.8004528391191975e-05,2.7862476510553164e-07,-1.800237236670511e-05
10399.20165829059,31.690157066066583,-89.19865606460127,550.3088952292304,-39344.30624900254,3.5543303802009925e-07,2.5411666829501316e-05,-0.6021463019767439,3.8898982351861906e-10,0.711661027733326,0.011950368027825868,-0.7115606840589588,1.8086190587891893e-05,3.0370727821799344e-07,-1.8083640448502252e-05
10423.174293933042,31.678401115265885,-89.17941461397085,562.7731831022153,-39291.856882700784,3.6445104782004325e-07,2.5445346085537583e-05,-0.5999605369528431,3.886132268248025e-10,0.7115946412546216,0.012192795089622293,-0.7114901750623097,1.8108557417866456e-05,3.102804843715812e-07,-1.8105898977327374e-05
10447.202192207998,31.663508254145192,-89.19942911001482,548.1348455192386,-39226.71907803396,3.5615467498949265e-07,2.548785120731932e-05,-0.597588342571054,3.8836326750084643e-10,0.7115997905451354,0.011948958277968654,-0.7114994619112174,1.8138848096632813e-05,3.045817916149727e-07,-1.813629069586547e-05
10471.285480508996,31.62262688447125,-89.28646743971693,486.32547795856567,-39049.31379609525,3.188840909814572e-07,2.5604673202785442e-05,-0.5935175128749336,3.8923037540450215e-10,0.7116702430770981,0.01087380385215884,-0.7115871663199111,1.8223424331974358e-05,2.784406733710807e-07,-1.8221297022292562e-05
10495.424286523219,31.616248809046454,-89.20979478703386,538.176277563753,-39019.32529189775,3.53412925877718e-07,2.562345181695686e-05,-0.5916977081422349,3.886336273857831e-10,0.711617193909877,0.011829787149234043,-0.7115188590643057,1.8235750001779273e-05,3.0314759518727096e-07,-1.8233230094059718e-05
10519.61873823223,31.602246236954358,-89.16854836938789,565.3652873170115,-38956.891520205514,3.724509518019566e-07,2.566399397246746e-05,-0.5893922590941123,3.883612011466007e-10,0.7116024279384459,0.012346386648612501,-0.7114953142393939,1.826440987953724e-05,3.1688968085000776e-07,-1.8261660635821384e-05
10543.868963912586,31.574132659818073,-89.07688623955266,625.6835953186369,-38831.538376625715,4.148325618859836e-07,2.5745579182951157e-05,-0.5861445453898428,3.887187911278256e-10,0.7115761999796769,0.013488784589902113,-0.7114483404069507,1.8322245169594494e-05,3.4732024244640743e-07,-1.831895293688795e-05
10568.175092136586,31.551732783739208,-89.21441683436693,531.1672036194002,-38737.75966479699,3.539000344659692e-07,2.5809753288776604e-05,-0.5833841586846602,3.887636323622139e-10,0.711686896360588,0.011787515184176455,-0.7115892726405796,1.8370115171823303e-05,3.0426021981051746e-07,-1.8367595301091908e-05
10592.537251772887,31.535866061256158,-89.19494800969811,543.3563122333741,-38668.27864800493,3.633199905022252e-07,2.585588556684781e-05,-0.5809984464916309,3.8856644333280447e-10,0.711638165888288,0.012033164236186455,-0.7115364235984771,1.8401776234322373e-05,3.1115756051216893e-07,-1.8399145348374413e-05
10616.955571987246,31.508607336695906,-89.31523862240168,460.78502777318823,-38553.255502635904,3.0996610956565737e-07,2.5934442091128577e-05,-0.5779379167526095,3.888293820561844e-10,0.7116763633772006,0.010544547152045291,-0.71159824249021,1.845817186426907e-05,2.734853559555161e-07,-1.845614570626739e-05
10641.430182243159,31.48516502027941,-89.12683022852123,585.9643894966849,-38446.91881128325,3.963211729281258e-07,2.6003846363169492e-05,-0.5750183077533144,3.8900805224253677e-10,0.7116176647959281,0.012888105259460575,-0.7115009470074029,1.8506869142223346e-05,3.3517784806035935e-07,-1.850383369082062e-05
10665.961212302578,31.44701004325805,-89.21257746719573,526.1870118145957,-38284.90507082127,3.589243690337717e-07,2.611502201218187e-05,-0.5712782717414141,3.897557734082968e-10,0.7116383611059648,0.011828334266236768,-0.7115400533392829,1.858612963291766e-05,3.0892510301453993e-07,-1.858356209159986e-05
10690.548792226577,31.43731740075004,-89.2728220198287,485.4162808155517,-38244.84737352638,3.318169118328557e-07,2.6143101602775615e-05,-0.5693680114642714,3.8926665174729554e-10,0.7116625787098342,0.011085267320463003,-0.7115762382094871,1.8606488172800606e-05,2.8982540527064206e-07,-1.8604230791920114e-05
10715.193052376066,31.417881708178292,-89.16471226544951,556.3358549329198,-38158.63314355743,3.819962729914839e-07,2.6200820087437662e-05,-0.5667779438729471,3.8924883544653195e-10,0.7116648747912163,0.012432672747525648,-0.7115562680912526,1.8648106997000346e-05,3.257794783289902e-07,-1.8645261121879546e-05
10739.894123412445,31.400440146507457,-89.17157494970178,550.6878367080465,-38084.18168921612,3.795993259824076e-07,2.625213185429841e-05,-0.5643710915394676,3.8911278740816323e-10,0.7116352563352025,0.012351674997946078,-0.711528055795423,1.8683817026278017e-05,3.2429033493665813e-07,-1.868100250120702e-05
10764.65213629835,31.36244633292481,-89.20828515184908,524.0559858227105,-37923.104783191506,3.643233342511023e-07,2.6364114433453558e-05,-0.560691558558093,3.898667929946894e-10,0.7116237756342023,0.011900349473840461,-0.7115242650326677,1.8763042720499257e-05,3.1377080588341115e-07,-1.876041897220463e-05
10789.467222298286,31.34580878404686,-89.205793954314,524.7235220050244,-37852.29011871178,3.6615314107955116e-07,2.6413405046263703e-05,-0.5583574198447049,3.8969781572843954e-10,0.7116649789026389,0.011936743116904406,-0.7115648644784638,1.8799221658145913e-05,3.153189862975304e-07,-1.8796577052457787e-05
10814.33951297938,31.327935511517385,-89.26903218011533,481.9913504010693,-37778.09514475946,3.3766686388196404e-07,2.6466057742220182e-05,-0.5559813038667879,3.895651294391233e-10,0.7116932313514278,0.011156591010338984,-0.7116057799290735,1.8837166872398562e-05,2.9529375485247895e-07,-1.8834852199498008e-05
10839.269140212033,31.295747686378874,-89.2247182125629,509.3561588318376,-37640.73590556701,3.5943952477407134e-07,2.656209803582659e-05,-0.5526857118772855,3.900874928571969e-10,0.71167027626686,0.011711371561359856,-0.7115739075443257,1.8905105421757044e-05,3.1110574852483196e-07,-1.890254544290219e-05
10864.256236170655,31.269444750165146,-89.13249138177399,568.2403515912093,-37527.33431902559,4.0340109587373087e-07,2.664113477179713e-05,-0.5497533036868287,3.903663872471376e-10,0.7116714003130524,0.012861568587195884,-0.7115551714920058,1.8961825592150478e-05,3.426845876968097e-07,-1.8958728782818955e-05
10889.300933334333,31.239995622598013,-89.24320421348916,494.11531538998565,-37406.492247290254,3.530681760492709e-07,2.6728663489671775e-05,-0.5467227126270583,3.907267518337396e-10,0.7117012490689067,0.011491897128406675,-0.7116084627283689,1.9024400559827677e-05,3.0718852109528143e-07,-1.9021920299309398e-05
10914.403364487567,31.227913411061937,-89.23347130434067,499.7893400021142,-37355.56350166908,3.58095341387162e-07,2.6764983152268533e-05,-0.5447226371180537,3.903595777867998e-10,0.7116720190769481,0.011617123189803938,-0.7115771955212259,1.904951168735869e-05,3.1095858491765164e-07,-1.904697352035964e-05
10939.563662720937,31.216597001941633,-89.08722129954175,594.3435780798525,-37304.220247544945,4.2698381600278584e-07,2.6799815631498415e-05,-0.5427228391949256,3.8999780711224043e-10,0.7116449464656632,0.013437736557886316,-0.7115180651721483,1.9074290661127976e-05,3.6017299666886067e-07,-1.9070889849130388e-05
10964.78196143185,31.192262505883278,-89.18598720301621,528.6174455425466,-37205.202299467266,3.818092872716589e-07,2.6872536827039215e-05,-0.5400373555554874,3.9013639025142435e-10,0.7117134466843695,0.012217228510638571,-0.7116085788682314,1.9127392393383663e-05,3.283396214744447e-07,-1.9124574057046116e-05
10990.058394325208,31.160549175453497,-89.18542140581648,527.106229159436,-37073.067818188065,3.834363769828977e-07,2.6968307376135317e-05,-0.5368817696084663,3.906264133158651e-10,0.7116908216170595,0.012228721844925383,-0.7115857530445678,1.919495224938397e-05,3.2981981044943523e-07,-1.919211845390617e-05
11015.39309541415,31.136524614749884,-89.1463984583867,550.859189542943,-36972.25225712902,4.028954718319202e-07,2.7041308015909095e-05,-0.5341903509927652,3.907907038319632e-10,0.7116538084632082,0.012717569502895357,-0.7115401650828488,1.924610062086155e-05,3.4393636258911166e-07,-1.9243027227721117e-05
