Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,32.5532364727207,-88.67006793653259,1006.102599136939,-43336.85991306227,5.354185076538343e-07,2.306261496686273e-05,-0.6897275473244866,3.672507500801277e-10,0.7078629439499299,0.01820597647287193,-0.7076287796847517,1.632951790209385e-05,4.199892384250736e-07,-1.632411602367524e-05
10023.05238077899,32.52356605895731,-88.79334065386952,909.8608463006055,-43196.5153285665,4.873993122465544e-07,2.313974927945753e-05,-0.6859127018102906,3.675965426207641e-10,0.7078726809570147,0.01668778717944408,-0.7076759499971191,1.638357767002944e-05,3.862356391910907e-07,-1.637902436962915e-05
10046.15790278395,32.47946250567141,-88.94662683475131,790.4067843743786,-42987.49185947229,4.275822275619121e-07,2.325471882319605e-05,-0.6810237193924344,3.685343938414447e-10,0.7080326570520754,0.01480189995062064,-0.7078779182952902,1.646783098045935e-05,3.442711069167002e-07,-1.646423197740846e-05
10069.31668851804,32.4849836259542,-88.78560038671206,911.7242686886376,-43009.01401681319,4.926624082281379e-07,2.324049622098756e-05,-0.6797975860755121,3.675027939684755e-10,0.707828645865471,0.01679056489082519,-0.7076294714314783,1.645393213679732e-05,3.903074803003055e-07,-1.644930219897346e-05
10092.52886076684,32.45302245978949,-88.75363010678849,932.3495927234696,-42853.46635569805,5.074594506243194e-07,2.332429451777555e-05,-0.675781173700142,3.679884387743868e-10,0.707826154219747,0.01718947357807347,-0.7076174012809647,1.651339963419863e-05,4.010259369535831e-07,-1.650852948256271e-05
10115.79454259898,32.44303300448195,-88.82486200426347,878.1094543339409,-42807.66250799163,4.789861119446718e-07,2.335047837708957e-05,-0.6735062739427723,3.675349278743499e-10,0.7079217578035965,0.01631606563325892,-0.7077337078124689,1.65337358098524e-05,3.810668561360392e-07,-1.65293438430311e-05
10139.11385736679,32.41217054056938,-88.85750514628634,850.7710593956295,-42660.2623539303,4.672969759549657e-07,2.343169924656173e-05,-0.6696434937745548,3.679566105478424e-10,0.7079843100008687,0.01591839588466439,-0.7078053319097457,1.659252028068092e-05,3.730680225835477e-07,-1.65883256995796e-05
10162.48692870695,32.37634234957955,-88.80834044243851,883.7878060054614,-42486.97482215707,4.893825830796642e-07,2.352644531234842e-05,-0.6653894964298447,3.686076313852631e-10,0.7080234946596718,0.01653081626947106,-0.7078304889615588,1.666082518253333e-05,3.889942100334124e-07,-1.665628347703944e-05
10185.91388054117,32.36717120569172,-88.78905214370114,897.1569941090562,-42442.50077090047,4.978201915417923e-07,2.355076536438837e-05,-0.6631642358350182,3.681452203896983e-10,0.7077498385530033,0.01676678285404006,-0.7075512058957485,1.667171927639276e-05,3.949574859420573e-07,-1.66670402955997e-05
10209.3948370768,32.34615530063428,-88.78349028426908,899.1456089987387,-42342.04322734887,5.012918106077602e-07,2.360654303578937e-05,-0.660072961011351,3.681699346669992e-10,0.7079382703428035,0.01684412149238088,-0.7077378541431215,1.671568793204783e-05,3.977198156271433e-07,-1.671095574734931e-05
10232.92992280754,32.31429559545759,-88.70515554937661,953.5785666935686,-42187.86710169279,5.355000517441945e-07,2.369139345724565e-05,-0.6561569011406043,3.686655547520279e-10,0.7078864433157593,0.01781460165201158,-0.7076622475434279,1.677504446149657e-05,4.221591437414261e-07,-1.676973161212016e-05
10256.51926251407,32.30803534720493,-88.75608271442445,915.4536166448523,-42159.86706460334,5.147936260911465e-07,2.370806171617072e-05,-0.6542132931931993,3.680619297691763e-10,0.7078726705264442,0.0171894483760961,-0.7076639319216186,1.67861891907658e-05,4.076232132418112e-07,-1.678123925293389e-05
