Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,32.27180676848003,-89.1771719692301,603.2402537457605,-42002.390715521076,3.418634892379097e-07,2.3803258746711135e-05,-0.668488810405231,3.7891877195714735e-10,0.7118053774187622,0.012142971607060979,-0.7117017939859478,1.6944973191389318e-05,2.8907105070154305e-07,-1.694250732284183e-05
10023.052380778994,32.23531334964912,-89.14879233208116,621.4805743497072,-41829.503591074885,3.5511276152989917e-07,2.390129498286294e-05,-0.6642060732283973,3.796098046794404e-10,0.7117930453383038,0.012499700636105376,-0.7116832841060582,1.7014590911002736e-05,2.9879091152436254e-07,-1.7011967195476463e-05
10046.157902783953,32.197998912913796,-89.09995908711922,654.3657216862009,-41652.895570876186,3.7707086232339615e-07,2.4002011001897284e-05,-0.6598805521818827,3.803425677390766e-10,0.7117490225415621,0.013109891836338454,-0.7116282750319218,1.708545304479706e-05,3.147014387069978e-07,-1.7082554514780305e-05
10069.31668851804,32.176945199027486,-89.05032848426717,688.7983407369353,-41552.919175357216,3.988133575699046e-07,2.405908701148306e-05,-0.6567826488362668,3.803808043017544e-10,0.7118096812484894,0.01373193011220858,-0.711677213640053,1.712778048420982e-05,3.304218680671652e-07,-1.7124593008430352e-05
10092.528860766844,32.16198454578276,-89.11120032758151,643.5840226719058,-41484.81548276837,3.7387154862557126e-07,2.409940530312941e-05,-0.6541981240206343,3.801289700048029e-10,0.711795229604034,0.01298002204912332,-0.711676870436762,1.7155842206462937e-05,3.1284729209978866e-07,-1.7152989488275242e-05
10115.794542598982,32.13531445750821,-89.12170696006703,634.0746183452901,-41360.85818901698,3.7056059176800713e-07,2.4171767238613048e-05,-0.6507432514157886,3.8039131297623954e-10,0.7118223178702037,0.012854476204343615,-0.7117062418298867,1.720796098208922e-05,3.1075075818270924e-07,-1.7205154899837252e-05
10139.113857366794,32.118315228414126,-89.10879146727022,642.1656088318663,-41281.485121586564,3.767309828992615e-07,2.4218074358865925e-05,-0.6480006544656116,3.802461441152393e-10,0.7118223828469773,0.013019388005741067,-0.7117033091519982,1.7240988469334183e-05,3.1534147266766113e-07,-1.7238104395650063e-05
10162.486928706954,32.0881002960014,-88.99780225001487,719.648352828602,-41138.19662635825,4.2510572511081846e-07,2.4300872555133284e-05,-0.6442662498759361,3.8069299187233276e-10,0.7117202387016843,0.014400445687472844,-0.7115745395540686,1.7298003911086965e-05,3.49995619455343e-07,-1.7294462766282797e-05
10185.91388054117,32.06857173166516,-89.03026008857995,694.8255169228354,-41048.91186433728,4.1223802279227795e-07,2.4354203828999795e-05,-0.6413894038740613,3.8064355644388905e-10,0.7117974248521147,0.014003357208013153,-0.7116596658607306,1.7337677275538e-05,3.410881798245517e-07,-1.733432179706754e-05
10209.394837076798,32.05149442932498,-89.12556233691106,625.3696047546804,-40972.911505548145,3.7242768425022054e-07,2.4400684703866413e-05,-0.6387294744731329,3.8047252967535325e-10,0.7118585694985208,0.012825219967169824,-0.7117430271532514,1.737179366271429e-05,3.129794098082576e-07,-1.7368974032710063e-05
10232.929922807542,32.0176168300341,-89.10782037541804,635.6263784130635,-40816.6296213249,3.814365652051811e-07,2.4493878062267414e-05,-0.6348297519468035,3.8105089942861245e-10,0.7118260858586073,0.013049540397000787,-0.7117064605609622,1.7437428832974674e-05,3.1967138672820217e-07,-1.7434498401432825e-05
10256.519262514073,32.0040321827809,-89.11302167810308,630.9579367273557,-40754.478416989994,3.7979185388279657e-07,2.4531300758806954e-05,-0.6324052563233822,3.8075427863016956e-10,0.711873812499956,0.012990334183741415,-0.711755278267058,1.746521642093973e-05,3.187067622316691e-07,-1.7462308284701955e-05
10280.162981264735,31.979980595500482,-89.10032614400453,638.2564990395967,-40644.059861554146,3.8627268323119925e-07,2.4597775477031238e-05,-0.6292412918042487,3.809105920283973e-10,0.7118413904071573,0.013151987026321888,-0.7117198819297199,1.7511806111564916e-05,3.2354826495131314e-07,-1.7508816916322168e-05
10303.861204416158,31.952745442023588,-89.07414403843141,654.8138873317184,-40519.05266812305,3.9873642157428047e-07,2.4673303940303568e-05,-0.6258631976495106,3.812069839643372e-10,0.7118882555399615,0.013482656047814016,-0.7117605681418617,1.7566860856513126e-05,3.3270382103512407e-07,-1.756370998734498e-05
10327.614057613975,31.944539752480022,-89.15580788346622,596.5316878014244,-40484.00130465792,3.6389188790961807e-07,2.4695753748108325e-05,-0.6238835889713379,3.8065952510645407e-10,0.7119125516041394,0.012473157322967028,-0.7118032744220224,1.7583057262989883e-05,3.0806626314682837e-07,-1.7580358298143187e-05
10351.421666793436,31.917623975328695,-89.16709211804043,586.783277631213,-40362.01090252454,3.601142921036358e-07,2.477053716104178e-05,-0.6205730724768803,3.8093189420322583e-10,0.7118678357532332,0.012336768688006117,-0.7117609287663456,1.76351431825073e-05,3.056194862242341e-07,-1.763249476952067e-05
10375.284158180128,31.89076001815814,-89.10830542088411,626.2853021666027,-40238.673978893334,3.86704926622205e-07,2.484569478886384e-05,-0.6172538283835709,3.812206969982486e-10,0.7118641123054548,0.013071559917392594,-0.7117440893395316,1.7688831248126522e-05,3.248100494625265e-07,-1.7685848844668594e-05
10399.20165829059,31.883677162793948,-89.10698367688134,626.7139871119597,-40206.609646668774,3.87586797283546e-07,2.4865491090113714e-05,-0.6153434542864219,3.8064723384429955e-10,0.711874654823644,0.013092767686337941,-0.7117542438332165,1.7703193392280597e-05,3.2559636281595625e-07,-1.770019896196109e-05
10423.174293933042,31.845929141843634,-89.02450052736674,681.6721250756647,-40034.01635954849,4.2519809877028414e-07,2.4971517854465603e-05,-0.6112928188443165,3.814090286118094e-10,0.7118594030706732,0.01412169975595271,-0.7117193178045246,1.7778716171811397e-05,3.526899985328926e-07,-1.7775217536861905e-05
10447.202192207998,31.83048589154737,-89.01036039250728,690.3486174301569,-39964.17311695873,4.3211289158803767e-07,2.501494747650607e-05,-0.608822877276001,3.8119684723361497e-10,0.7118158573881211,0.014301086848521417,-0.7116721813757632,1.7808621921596185e-05,3.5779288436723093e-07,-1.7805027351797368e-05
10471.285480508996,31.80092789170034,-89.14573654390149,593.9799750094824,-39835.51397124753,3.74226387133078e-07,2.5097648237739376e-05,-0.6054671101204779,3.8154846148371077e-10,0.7119248710745455,0.012626098005393493,-0.7118128993658842,1.786955477841049e-05,3.1691932549626236e-07,-1.7866744250694925e-05
10495.424286523219,31.78539745263933,-89.11820602417271,612.044317620842,-39765.28362534541,3.8696512921578073e-07,2.5141607679979472e-05,-0.6030095858584349,3.8134323570298274e-10,0.7118609643820707,0.012971594576532443,-0.7117427697877329,1.789937704183657e-05,3.2616405980449136e-07,-1.7896405099681833e-05
