Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,33.2436402912198,-89.08464296026514,748.6750331496698,-46858.51337374388,3.408831132119829e-07,2.1335392810052323e-05,-0.7457764029369024,3.3965000516015993e-10,0.7116445373208197,0.013289304481417154,-0.7115204437575661,1.5185098259434461e-05,2.835676855043266e-07,-1.5182450346252321e-05
10023.052380778994,33.20871362635182,-88.9943818456572,819.2319684145716,-46671.506603670074,3.759840821642216e-07,2.1419749533897926e-05,-0.7410917049345822,3.4022663598344664e-10,0.7116109364547846,0.014413930330773938,-0.7114649418590315,1.5244820265135498e-05,3.08789207627356e-07,-1.5241692627183467e-05
10046.157902783953,33.20782972850625,-89.12452887137795,713.1793532876692,-46670.8558516434,3.273450900900801e-07,2.1421645821503474e-05,-0.7393769318576972,3.3944886945193673e-10,0.7116562045002028,0.01280305777503569,-0.7115410284131504,1.5246570916235636e-05,2.742935803515335e-07,-1.5244103375914908e-05
10069.31668851804,33.16919466053373,-89.05472770814885,766.6686148166593,-46465.86043810897,3.549944002978302e-07,2.1515319581060193e-05,-0.7344362683692283,3.401622754422285e-10,0.7116434584963622,0.013674092887066681,-0.7115120738289544,1.531326388061691e-05,2.9424143538135137e-07,-1.53104367232e-05
10092.528860766844,33.13643436667076,-88.98901453197996,816.9168673766254,-46292.48636145094,3.81084798823895e-07,2.159505276070911e-05,-0.7300130754225318,3.4065096562702267e-10,0.7116778402441567,0.014495282973374624,-0.7115302067137481,1.537105628681745e-05,3.1307397515798573e-07,-1.536786764839511e-05
10115.794542598982,33.13547383585381,-89.09995058544298,727.2354042051862,-46290.89386734619,3.3929441080144757e-07,2.159719049619059e-05,-0.7283090367351004,3.3987918223032133e-10,0.7116713606193882,0.013121941248462532,-0.7115503778255782,1.5371941258859865e-05,2.8343097844772414e-07,-1.536932805773546e-05
10139.113857366794,33.11282552820696,-89.09909140936269,726.0728960749574,-46172.813190961206,3.404867175712555e-07,2.1652412160552733e-05,-0.7247804452319901,3.399646773938995e-10,0.7116765353428398,0.013137185458040122,-0.711555272143935,1.5411361064629477e-05,2.8448585616121655e-07,-1.5408735109087367e-05
10162.486928706954,33.06979665282802,-89.0135002244806,791.1741983971181,-45946.7544136215,3.7465685684523176e-07,2.175787156067843e-05,-0.7195731847192312,3.4085156511681094e-10,0.7116608408895195,0.014204301460474507,-0.7115190723203406,1.54864623274579e-05,3.091000190210595e-07,-1.5483377299478753e-05
10185.91388054117,33.05568349959286,-89.08127296521252,735.6726979007206,-45875.78952823197,3.4946675493264473e-07,2.1792385856036986e-05,-0.716809385715483,3.405936761170609e-10,0.7116593738559353,0.013367137763252861,-0.7115338249338818,1.5510691032837888e-05,2.9133817589700774e-07,-1.5507954680854037e-05
10209.394837076798,33.01489856379411,-89.16929880017756,662.1621576985472,-45667.97137476892,3.174312086213856e-07,2.1892582021244588e-05,-0.711921078698798,3.4135668433244856e-10,0.7117095595801582,0.012279339684808948,-0.71160362212027,1.558273850951997e-05,2.688536872974212e-07,-1.5580419030016594e-05
10232.929922807542,33.00263875399801,-89.09877199071414,717.3641038315365,-45602.82782413642,3.448646170532577e-07,2.1923039736888876e-05,-0.7092705141079112,3.410580915909447e-10,0.7117074437889664,0.013159742102541254,-0.7115857690626053,1.560466142078484e-05,2.8853614176317975e-07,-1.5601993621080198e-05
10256.519262514073,32.97983584041971,-89.14238433849228,680.9110765004756,-45487.06256335492,3.290162199719134e-07,2.197934781607348e-05,-0.7058428564695831,3.411396813983529e-10,0.7117274868860198,0.012622980449588738,-0.7116155394267742,1.564499861769613e-05,2.7747489779981995e-07,-1.5642537819318344e-05
10280.162981264735,32.95505435933527,-89.16419622959886,661.7493228167348,-45360.83130962379,3.215430122502938e-07,2.2040760503374443e-05,-0.7022651818693306,3.4130223052189933e-10,0.7117450882089489,0.01235692211308049,-0.7116378131222761,1.5689011886131607e-05,2.723838929411874e-07,-1.568664721914932e-05
10303.861204416158,32.94174082077177,-89.13791202333564,681.5280615519197,-45292.05349206802,3.321554597356409e-07,2.2073930185313466e-05,-0.6995876645694409,3.410343464204464e-10,0.7117209716265265,0.01268750380908024,-0.7116078756591312,1.5712196790279488e-05,2.80093694822719e-07,-1.570970004483184e-05
10327.614057613975,32.92168088287786,-89.08785508954463,719.4553637912563,-45188.29507228852,3.5224259240158617e-07,2.2124016309494052e-05,-0.6963796759376031,3.4103124905216067e-10,0.7117077591134422,0.013313516091212587,-0.7115832239953149,1.574776844065666e-05,2.9458463231669477e-07,-1.5745012885194623e-05
