Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,33.07658294108668,-88.85442323018296,919.3632194521194,-45975.62926364628,4.347685634743032e-07,2.174195994233338e-05,-0.7317248659069702,3.461724083845045e-10,0.7070111357484805,0.01590984672722088,-0.706832103720164,1.537483238624573e-05,3.459793125647483e-07,-1.537093911315856e-05
10023.05238077899,33.05055668279311,-88.75932245462374,992.7201637315518,-45837.68407274794,4.722564043675119e-07,2.180588312355833e-05,-0.7278515289466625,3.464156187045764e-10,0.7069924347258835,0.01708667846258801,-0.7067859281131372,1.54201606351441e-05,3.726763027051638e-07,-1.541565653441493e-05
10046.15790278395,33.02290967954404,-88.81670225410456,943.8889463332654,-45697.00568380194,4.518144983512666e-07,2.187393949191574e-05,-0.7239488378995194,3.466828738148646e-10,0.7069895826368606,0.01638288189021717,-0.7067997390619308,1.546789674870528e-05,3.584334645766259e-07,-1.546374324929378e-05
10069.31668851804,32.99129088142287,-88.875450919299,893.8612100349205,-45536.38359935844,4.309091404978456e-07,2.195200294843666e-05,-0.7197450199009724,3.471055794872314e-10,0.7070378492693651,0.0156633300418113,-0.7068643295509053,1.552383731853183e-05,3.439066065371482e-07,-1.552002749154207e-05
10092.52886076684,32.96545367981737,-88.77725651632646,969.0379839663916,-45400.65706174752,4.699143599991925e-07,2.201608302224594e-05,-0.7159493017737143,3.47342554070451e-10,0.7069363672126541,0.01687643841171075,-0.7067348959223396,1.556746462409988e-05,3.716365010205755e-07,-1.556302801943472e-05
10115.79454259898,32.93793643700853,-88.71479564139926,1015.352276733899,-45257.89415380501,4.954610603409294e-07,2.208447722043025e-05,-0.7120565308216745,3.476368365455965e-10,0.7069673866048947,0.0176517765712313,-0.7067469847879324,1.561688345409374e-05,3.899270923860648e-07,-1.561201478609889e-05
10139.11385736679,32.91366975133906,-88.79976297443356,945.6765810479898,-45137.21030172813,4.639622159122115e-07,2.214494947995604e-05,-0.7085244566692482,3.477646366690262e-10,0.7069025726259723,0.01660629575750781,-0.7067074912058258,1.565770638363723e-05,3.67825090981066e-07,-1.565338538140037e-05
10162.48692870695,32.91538274459588,-88.75768034588209,979.001664501323,-45144.47847541529,4.801422874407237e-07,2.214069081439761e-05,-0.7070087226751504,3.469089395384041e-10,0.7069453372433765,0.01713053750624697,-0.7067377551361597,1.565588721879449e-05,3.793698735476657e-07,-1.565129014192304e-05
10185.91388054117,32.89367530456759,-88.83454934388882,916.2172323331233,-45036.77611044511,4.515274553053295e-07,2.219489024510237e-05,-0.7036997978741503,3.469387720354451e-10,0.706912185090406,0.01618574898087627,-0.7067268630519293,1.569303346875261e-05,3.593140786521252e-07,-1.568891942882849e-05
10209.3948370768,32.84686013159369,-88.84726230711691,901.4605954894161,-44800.23404789028,4.489628204751056e-07,2.231227802604693e-05,-0.6983938631211875,3.479684340938037e-10,0.7069200592916056,0.01603328299474043,-0.7067382146631508,1.577613788515105e-05,3.578103067695425e-07,-1.577207970927321e-05
10232.92992280754,32.83968608271145,-88.84256491644388,904.4003860471674,-44763.87223509528,4.511575234265188e-07,2.233032852278485e-05,-0.6962220587742275,3.474501345005748e-10,0.7070331267945692,0.01609797537294472,-0.7068498408953612,1.579145188617305e-05,3.595452517467644e-07,-1.578735823009236e-05
10256.51926251407,32.81097546288617,-88.84630556257956,898.5676284143974,-44619.41809937116,4.511561357866334e-07,2.240268134996385e-05,-0.6923792337965355,3.47773294489211e-10,0.7070883764169487,0.01605726867426761,-0.7069060306622648,1.584383488458086e-05,3.597976180313159e-07,-1.583974903601444e-05
10280.16298126474,32.79136239579319,-88.81642854873441,919.7887800467876,-44519.93059510538,4.638673602497393e-07,2.2452266359025e-05,-0.6892465647901054,3.477488104171552e-10,0.7070715438810179,0.01642968951481242,-0.7068806359412692,1.587869351889531e-05,3.689612552986776e-07,-1.58744063025707e-05
10303.86120441616,32.75740966220823,-88.89117046552884,858.4473454255964,-44352.41640574172,4.362308991862971e-07,2.253824255251158e-05,-0.6850738930779148,3.482593985275559e-10,0.7068777241326447,0.01550750937132426,-0.7067076015071903,1.593471219122994e-05,3.495762989816381e-07,-1.593087722093553e-05
10327.61405761398,32.74757001368913,-88.86702274647402,876.1597508447677,-44302.48930633633,4.462284044247804e-07,2.256327010702288e-05,-0.6827288592548616,3.478499956172002e-10,0.7069760181276917,0.01581176798883955,-0.7067991781268237,1.59547564274981e-05,3.568337545849846e-07,-1.59507655719837e-05
10351.42166679344,32.72743422728516,-88.80147595987361,924.717601461837,-44199.93755257557,4.731248556344173e-07,2.261456799411384e-05,-0.6795818750589662,3.478551807604082e-10,0.7069892454882555,0.01662487668987142,-0.7067937511828322,1.599170098632277e-05,3.760454047293252e-07,-1.598727901456463e-05
10375.28415818013,32.68125743341772,-88.75768204824718,953.5121851912774,-43969.14825174333,4.929761966835798e-07,2.273252907849591e-05,-0.6744786148616467,3.488767908964623e-10,0.7069028757937406,0.01716724518002606,-0.7066943904534615,1.607341382382964e-05,3.903453295247535e-07,-1.606867332656296e-05
10399.20165829059,32.66664915031572,-88.92037996059483,827.3440323600694,-43902.21478121826,4.29100549384332e-07,2.276980765555457e-05,-0.6719029714692075,3.486050719885186e-10,0.7069696864828561,0.01516611650310614,-0.706806993822134,1.610036708785425e-05,3.453896930319013e-07,-1.60966619621463e-05
10423.17429393304,32.66384479791895,-88.77099730629148,941.4504093453048,-43883.43668482352,4.88648249742224e-07,2.277715779381817e-05,-0.6700709084674111,3.479521305678725e-10,0.7070698872424712,0.01701552891962245,-0.7068651195388456,1.610869297510744e-05,3.876532378492664e-07,-1.610402789160093e-05
10447.202192208,32.6225167384917,-88.83180470971664,890.7427245095885,-43681.67465056314,4.666305550424443e-07,2.288337982058514e-05,-0.6654561015727539,3.487553285525573e-10,0.7069524004375716,0.01626689217464323,-0.7067652260145677,1.618076773979732e-05,3.72317576067799e-07,-1.617648368069578e-05
