Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,32.86571044044688,-88.73630186812009,990.2800185701113,-44891.78514672536,4.91148682596892e-07,2.226495609400793e-05,-0.7144749510320667,3.545302165456544e-10,0.7088424625626689,0.01741200638717277,-0.7086285760294188,1.57861360162528e-05,3.877706481494408e-07,-1.578137269847168e-05
10023.05238077899,32.84190592634241,-88.76033549706735,968.8559672180501,-44772.35200867053,4.830989334488382e-07,2.232475851440648e-05,-0.710935238620039,3.546583767806259e-10,0.708885666977338,0.01711990423129826,-0.7086789101737235,1.582935614135602e-05,3.822859930835524e-07,-1.582473927966517e-05
10046.15790278395,32.82285899061818,-88.6951234334085,1017.601316968485,-44674.09527629164,5.096134151347541e-07,2.237272877125359e-05,-0.7077435135087596,3.546209309268796e-10,0.7089600469027707,0.01793247914246435,-0.7087332179996815,1.586543468942224e-05,4.013012833334073e-07,-1.586035860768342e-05
10069.31668851804,32.79040651997248,-88.72578234062009,990.0810174267432,-44512.1057161646,4.994587669892656e-07,2.245468910703196e-05,-0.7035553524932632,3.550929025419761e-10,0.7087206244663911,0.01755142603975597,-0.7085032610990596,1.59179866729064e-05,3.942080364906704e-07,-1.591310465442843e-05
10092.52886076684,32.77499762218599,-88.74102333853878,976.5494082200146,-44435.41803327831,4.943402529484036e-07,2.249370651964996e-05,-0.7007278875211104,3.548876296942673e-10,0.7088546078422195,0.01737037204062092,-0.708641746748184,1.594856635303413e-05,3.908171407815618e-07,-1.594377717730662e-05
10115.79454259898,32.74798291801365,-88.88365707949478,863.3445980334951,-44305.15142351399,4.396538169336772e-07,2.25621715564574e-05,-0.697066732997872,3.551124563811807e-10,0.7088491765142745,0.01561022728705397,-0.7086772719997528,1.59961612850306e-05,3.522663517895371e-07,-1.599228202209143e-05
10139.11385736679,32.72455362690941,-88.76140054491219,955.3090747460183,-44184.30130899626,4.891082048944894e-07,2.26218978433822e-05,-0.6935665245813464,3.55264767706938e-10,0.708783244993941,0.01712490741123094,-0.7085763374050094,1.603771745173693e-05,3.874871879213584e-07,-1.603303573067009e-05
10162.48692870695,32.68826233640071,-88.75371844692384,957.308696833781,-44003.77838109025,4.941588410552252e-07,2.27145707531644e-05,-0.6891441920862463,3.559017823035543e-10,0.7087921126905327,0.01722428539902802,-0.7085827989760982,1.610366565472864e-05,3.913335493459089e-07,-1.609891007405294e-05
10185.91388054117,32.66625736051244,-88.79393234491998,924.1450336469857,-43896.20187613324,4.793953271810717e-07,2.277092154828776e-05,-0.685878321128625,3.559534340643843e-10,0.7089177898257651,0.01673408633408816,-0.7087202572849255,1.614623562111056e-05,3.81133757301535e-07,-1.614173664112585e-05
10209.3948370768,32.63786299166436,-88.7027373808331,990.8014833761604,-43752.93141360167,5.173085803360705e-07,2.284389679957592e-05,-0.6820673918836501,3.562976647510765e-10,0.7089862442348731,0.01786800426170448,-0.7087610520746571,1.620010760107038e-05,4.08278149272672e-07,-1.619496203265339e-05
10232.92992280754,32.61627677163096,-88.7703805873782,936.8909826842138,-43649.00004093608,4.915191270298271e-07,2.289948221550674e-05,-0.6788822135925787,3.563246217385019e-10,0.7088577532097817,0.01703233197065741,-0.7086530984573913,1.623616074203028e-05,3.901201312040597e-07,-1.623147319020287e-05
10256.51926251407,32.60372043936869,-88.83760703269581,884.4481085969473,-43589.55418751299,4.652953808035522e-07,2.293183513831072e-05,-0.6763983802448592,3.559899228117156e-10,0.7089424355424354,0.01620697477087437,-0.7087571593159511,1.62606433610285e-05,3.717309382231221e-07,-1.625639377673068e-05
10280.16298126474,32.57776086493277,-88.64267131256588,1029.650981978207,-43455.66380291219,5.449460493783327e-07,2.299904795604929e-05,-0.6727698492891161,3.562654795590694e-10,0.7089473627701198,0.01862259617345999,-0.7087027318209435,1.63096364259469e-05,4.284207669658092e-07,-1.630400858663312e-05
10303.86120441616,32.57139343840783,-88.6707149300675,1007.669714922552,-43425.49533982179,5.340659138621693e-07,2.301555411473471e-05,-0.6707565350923532,3.556930264084515e-10,0.708729301785977,0.01827431121913794,-0.7084936645867094,1.631613396396356e-05,4.207052102957322e-07,-1.631070920150425e-05
10327.61405761398,32.54266261852798,-88.86043520739783,861.1473323800849,-43291.61612358947,4.5930170125561e-07,2.309002442208492e-05,-0.6671506760485876,3.559724050736686e-10,0.7089255506397033,0.0159368576589596,-0.7087463953472812,1.637229140346881e-05,3.680539901723743e-07,-1.636815389897153e-05
10351.42166679344,32.53364805349133,-88.8114194048547,897.2534181641488,-43246.0866196589,4.795507626139544e-07,2.311353002249861e-05,-0.6649162478791268,3.555275972638099e-10,0.7088774380538707,0.01654628863083046,-0.708684303843654,1.638813071869517e-05,3.825241521803131e-07,-1.638366575971443e-05
