Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,33.73401045958882,-88.84430859564205,998.8852124133957,-49515.07365014072,4.072527435479249e-07,2.018765453767863e-05,-0.7880568728979153,3.214272571145474e-10,0.7085125861800388,0.0160686782229897,-0.7083303483232191,1.430607238379422e-05,3.244539028013458e-07,-1.430239269196999e-05
10023.05238077899,33.71811991511147,-88.89899454752403,949.9375057955917,-49428.19337158272,3.886737253172385e-07,2.022389887358319e-05,-0.7848648300267629,3.212516704520094e-10,0.7084699751648468,0.01539577902844372,-0.7083026723782608,1.433062555285582e-05,3.114191879476627e-07,-1.432724142413822e-05
10046.15790278395,33.68421878864334,-88.84238564580291,994.9373237364624,-49237.42727022697,4.102302895504997e-07,2.030146378460426e-05,-0.7800375039907268,3.217546109435793e-10,0.7086996046177884,0.01610490993499671,-0.7085165922273063,1.43905306597597e-05,3.270189494704589e-07,-1.438681449370121e-05
10069.31668851804,33.68387185803469,-88.73229824398103,1089.454362003052,-49231.5723219234,4.492716426981388e-07,2.030222663849483e-05,-0.7781509245960003,3.210527730793112e-10,0.7087261431949489,0.01747098816825069,-0.7085107695867523,1.439219543951854e-05,3.547856653141903e-07,-1.438782181919786e-05
10092.52886076684,33.63434750579917,-88.76120897989425,1058.687800268559,-48958.1289956821,4.414842857870772e-07,2.041607035393002e-05,-0.7720491406750769,3.221034076219467e-10,0.7085258121515686,0.0171127710121523,-0.7083191226794076,1.446864806114491e-05,3.494560916191824e-07,-1.446442730139367e-05
10115.79454259898,33.62456187425708,-88.85512307402126,977.3909881823748,-48907.37502039994,4.084568730348529e-07,2.043865117513028e-05,-0.7694749488403395,3.216960866491329e-10,0.7085710414350515,0.01595689181452179,-0.7083913454891816,1.44850813080685e-05,3.262014136074273e-07,-1.448140784382222e-05
10139.11385736679,33.59401842773727,-88.81842202486449,1005.233634229954,-48737.773386255,4.230102889105739e-07,2.050924173142184e-05,-0.7650429474247586,3.220730954701515e-10,0.7086018286881614,0.01641551226854742,-0.708411661802068,1.45359299478442e-05,3.367402210001789e-07,-1.453202895235881e-05
10162.48692870695,33.58022945430537,-88.89856759825513,935.6275150354588,-48664.72427261551,3.949243832466968e-07,2.054117253969906e-05,-0.7621393736125948,3.218146899628765e-10,0.7086062520676665,0.01542882107855903,-0.7084382626238585,1.455824580392998e-05,3.169836126496234e-07,-1.455479447731766e-05
10185.91388054117,33.56381710748828,-88.81759312523467,1002.514968491085,-48571.8777491663,4.247526608532139e-07,2.057927808065327e-05,-0.7589357744132377,3.216882798083977e-10,0.708654330399304,0.01643530262476098,-0.708463718775576,1.458665281725811e-05,3.382975917170726e-07,-1.458272934503902e-05
10209.3948370768,33.52600191092253,-88.87219965578453,952.1687236575364,-48366.89710216504,4.068639195486668e-07,2.066728809974199e-05,-0.7539948134703266,3.223086082150695e-10,0.7086329755880845,0.01576378598071202,-0.7084576184517865,1.46483114227512e-05,3.25856761118741e-07,-1.464468657599528e-05
10232.92992280754,33.51975318445746,-88.89998739575783,928.0657557867955,-48333.73480264995,3.971165159387512e-07,2.068185820611765e-05,-0.751744893199069,3.217879498109399e-10,0.7086786134636469,0.01542537078327614,-0.7085107163035401,1.465944384160718e-05,3.190830828493802e-07,-1.465597078775316e-05
