Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,33.41592190966075,-89.10691383161999,744.800600268167,-47778.67618641029,3.261867164190377e-07,2.092475421539982e-05,-0.7604212489454224,3.331087334252343e-10,0.7114985636696602,0.01301006627204754,-0.7113796063140878,1.488968712676784e-05,2.722645219270499e-07,-1.488719767999122e-05
10023.05238077899,33.39674108998707,-88.99138173982456,839.2869761728831,-47671.78627682244,3.691926466326328e-07,2.097026815011591e-05,-0.7569750355217632,3.330877847924496e-10,0.7114627145083748,0.01444817379508045,-0.7113159947657669,1.492182130922699e-05,3.03027921517746e-07,-1.491874409135304e-05
10046.15790278395,33.35483630807252,-89.03657342966621,797.9181506049125,-47448.38371596947,3.543175778123582e-07,2.106957508938529e-05,-0.7516948153905537,3.33886383781344e-10,0.7114726702186009,0.0138917538979013,-0.7113370366019376,1.499249119913801e-05,2.927336590327277e-07,-1.498963306292385e-05
10069.31668851804,33.34880081844377,-89.14372997224196,708.7223479644713,-47419.35944882429,3.151140446223383e-07,2.108372367858307e-05,-0.7495072096736783,3.333223603339936e-10,0.7115083217126061,0.01256643965005205,-0.7113973407743461,1.500286482018974e-05,2.649759526171162e-07,-1.500052467607122e-05
10092.52886076684,33.31109135811457,-89.08222831042363,756.3808257451074,-47216.23354923313,3.391926195228424e-07,2.117372280793871e-05,-0.7445801807665935,3.339864066849136e-10,0.7114993183194028,0.01333433910232784,-0.7113743566995363,1.506696635084142e-05,2.823727773064315e-07,-1.506432011847943e-05
10115.79454259898,33.30395576501951,-89.15986942096139,691.8604678086899,-47180.57500272818,3.107410854920669e-07,2.119060673740013e-05,-0.7423066668644361,3.334701018678651e-10,0.7115116049646172,0.01237502980411534,-0.7114039799134333,1.507892739996119e-05,2.622616056949496e-07,-1.507664652313235e-05
10139.11385736679,33.26711521998594,-88.99762812195587,821.9840000851718,-46979.9783338661,3.723100941093736e-07,2.127914917191288e-05,-0.7374506178123533,3.341237288208463e-10,0.7114685751314666,0.01439302793128337,-0.7113229745668057,1.514170635479946e-05,3.063171166086275e-07,-1.513860763607562e-05
10162.48692870695,33.23844235053451,-89.1611033400996,685.7590838610123,-46833.29359291987,3.125856684879533e-07,2.134775423288817e-05,-0.7334572953330808,3.343993546567098e-10,0.7115314474806248,0.01236901979791641,-0.7114239299483198,1.519116959025425e-05,2.640781065695302e-07,-1.518887409499125e-05
10185.91388054117,33.21304167250307,-89.09245031407681,739.7342532153242,-46697.28459414993,3.391435066870211e-07,2.140914900342178e-05,-0.7296452492422909,3.346019781662109e-10,0.7115121439680878,0.01322559368553975,-0.7113892146256717,1.523472306956873e-05,2.83183159891185e-07,-1.523209093671659e-05
10209.3948370768,33.20804981969619,-89.09149324840222,740.0971863182378,-46670.96992321753,3.396924562142561e-07,2.142120886310517e-05,-0.7275568905610121,3.340206409750476e-10,0.7115292591933849,0.01324230391555303,-0.7114060219560242,1.524367529353379e-05,2.837007451468949e-07,-1.524103508105324e-05
10232.92992280754,33.18264579836548,-89.21661658570017,636.3790212857808,-46541.14362354401,2.937382906062832e-07,2.148234859034124e-05,-0.7238643399997597,3.341820208513832e-10,0.7115212664163447,0.01169308300987458,-0.7114251783374294,1.528651838320558e-05,2.512174081416752e-07,-1.528445400051728e-05
10256.51926251407,33.15397624408049,-89.07111577605744,752.0902358183199,-46386.64310149081,3.494378217876507e-07,2.155226428088041e-05,-0.7198020453219716,3.345239274301169e-10,0.7114731606312175,0.01350330148868079,-0.7113450071150286,1.5335814152487e-05,2.910638567049879e-07,-1.533305180161276e-05
10280.16298126474,33.1122987512091,-89.19970984667559,644.9722677568064,-46172.98544608572,3.024686704262106e-07,2.165346049072656e-05,-0.7148387515302412,3.352989362660902e-10,0.7115297555827008,0.01191222058899352,-0.7114300331587198,1.540852518844201e-05,2.579649685141667e-07,-1.540636565053132e-05
10303.86120441616,33.1013100164276,-89.1479763589047,685.7988849783605,-46114.31347910954,3.224253932969824e-07,2.16804459525935e-05,-0.7122884122647075,3.349533950604002e-10,0.7115355731578784,0.01255923312130057,-0.711424723728741,1.542805468781837e-05,2.723188309089527e-07,-1.542565116630889e-05
10327.61405761398,33.08530309885784,-89.08916930999493,731.7910466120743,-46029.41784308605,3.453077853758117e-07,2.171974692928917e-05,-0.7093418999297829,3.34799383376406e-10,0.7115235187205072,0.01329375191008124,-0.7113993209531235,1.545600365280141e-05,2.887722930805344e-07,-1.545330577831681e-05
10351.42166679344,33.06264822212963,-89.12324881915924,702.6249521349072,-45913.02866630688,3.332345226833609e-07,2.177521043919119e-05,-0.7059209546070218,3.348761280527971e-10,0.7115208432258271,0.0128751326373689,-0.7114043444514253,1.549526974646354e-05,2.803904553702692e-07,-1.549273267400576e-05
